"Timestamp","Ward (1 - 66)","Division (1 - 51)","Time of day","Voter number within your division (how many people voted before you, plus you)"
"11/5/2019 14:33:50","61","15",14:30:00,80
"11/5/2019 14:34:01","47","1",14:33:00,74
"11/5/2019 14:34:14","5","13",14:15:00,42
"11/5/2019 14:34:22","9","12",07:00:00,4
"11/5/2019 14:35:04","18","04",14:30:00,103
"11/5/2019 14:35:08","8","17",14:30:00,138
"11/5/2019 14:35:21","61","14",14:30:00,61
"11/5/2019 14:41:12","8","27",07:35:00,8
"11/5/2019 14:42:17","39","35",08:30:00,20
"11/5/2019 14:43:51","18","19",07:10:00,3
"11/5/2019 14:44:20","8","10",02:42:00,254
"11/5/2019 14:45:44","8","22",14:45:00,85
"11/5/2019 14:47:58","8","15",14:45:00,78
"11/5/2019 14:49:43","51","6",14:49:00,161
"11/5/2019 14:50:03","31","04",09:00:00,52
"11/5/2019 14:52:18","46","16",10:00:00,94
"11/5/2019 14:52:47","39","43",14:52:00,101
"11/5/2019 14:53:48","36","09",14:50:00,102
"11/5/2019 14:55:30","27","2",07:25:00,24
"11/5/2019 14:56:22","13","4",11:50:00,91
"11/5/2019 14:57:14","61","07",15:00:00,94
"11/5/2019 14:57:34","21","31",07:20:00,8
"11/5/2019 14:58:10","61","02",15:00:00,80
"11/5/2019 14:58:57","61","09",15:00:00,81
"11/5/2019 15:00:16","66","04",15:00:00,55
"11/5/2019 15:02:04","2","16",08:00:00,30
"11/5/2019 15:02:33","22","1",09:25:00,62
"11/5/2019 15:04:39","22","04",07:20:00,10
"11/5/2019 15:06:55","9","13",14:35:00,203
"11/5/2019 15:07:03","32","13",10:30:00,17
"11/5/2019 15:07:12","31","16",10:30:00,69
"11/5/2019 15:09:52","36","05",15:00:00,112
"11/5/2019 15:10:13","2","7",15:08:00,168
"11/5/2019 15:12:53","25","2",07:15:00,1
"11/5/2019 15:12:56","5","37",15:12:00,85
"11/5/2019 15:13:37","5","1",15:13:00,210
"11/5/2019 15:14:32","31","10",13:30:00,86
"11/5/2019 15:15:23","36","36",14:45:00,128
"11/5/2019 15:15:47","2","7",15:15:00,168
"11/5/2019 15:20:33","5","17",03:20:00,162
"11/5/2019 15:21:00","8","13",15:20:00,146
"11/5/2019 15:21:59","21","24",14:55:00,236
"11/5/2019 15:22:11","5","32",15:21:00,126
"11/5/2019 15:22:12","04","14",14:30:00,99
"11/5/2019 15:23:03","8","15",15:22:00,193
"11/5/2019 15:23:48","6","3",15:15:00,117
"11/5/2019 15:24:02","21","42",07:10:00,7
"11/5/2019 15:27:32","17","27",15:30:00,74
"11/5/2019 15:28:09","9","2",14:20:00,182
"11/5/2019 15:29:05","2","7",15:28:00,172
"11/5/2019 15:30:33","1","3",12:09:00,138
"11/5/2019 15:31:35","8","22",15:31:00,93
"11/5/2019 15:32:42","1","8",15:32:00,109
"11/5/2019 15:33:47","47","1",15:33:00,83
"11/5/2019 15:36:45","58","28",15:15:00,94
"11/5/2019 15:40:59","15","15",08:30:00,33
"11/5/2019 15:41:35","15","7",15:35:00,178
"11/5/2019 15:44:32","36","39",09:06:00,45
"11/5/2019 15:45:21","22","2",12:24:00,151
"11/5/2019 15:50:52","12","26",09:15:00,40
"11/5/2019 15:51:06","59","18",10:45:00,71
"11/5/2019 15:54:32","30","1",15:55:00,253
"11/5/2019 15:54:34","9","1",14:51:00,194
"11/5/2019 15:56:14","8","23",16:00:00,248
"11/5/2019 15:56:33","58","08",15:50:00,133
"11/5/2019 15:57:14","58","08",15:50:00,133
"11/5/2019 15:57:19","18","18",15:57:00,151
"11/5/2019 15:57:41","2","23",15:45:00,218
"11/5/2019 15:57:47","2","23",15:45:00,218
"11/5/2019 15:59:58","46","7",07:41:00,17
"11/5/2019 16:00:23","31","17",12:00:00,62
"11/5/2019 16:01:18","39","43",16:00:00,109
"11/5/2019 16:03:19","8","19",16:02:00,247
"11/5/2019 16:03:44","22","09",09:30:00,39
"11/5/2019 16:06:25","12","3",12:10:00,60
"11/5/2019 16:06:26","25","2",07:15:00,1
"11/5/2019 16:07:39","5","28",04:07:00,133
"11/5/2019 16:07:43","18","6",16:00:00,140
"11/5/2019 16:08:11","9","10",15:40:00,262
"11/5/2019 16:08:22","56","5",16:06:00,80
"11/5/2019 16:08:30","5","09",04:07:00,250
"11/5/2019 16:08:42","18","19",16:00:00,125
"11/5/2019 16:09:32","12","23",08:30:00,30
"11/5/2019 16:10:31","18","12",16:10:00,177
"11/5/2019 16:10:51","8","26",08:40:00,44
"11/5/2019 16:11:04","18","18",15:00:00,135
"11/5/2019 16:11:41","59","19",16:10:00,137
"11/5/2019 16:12:31","36","10",12:30:00,72
"11/5/2019 16:14:13","15","17",16:12:00,192
"11/5/2019 16:14:30","15","17",16:12:00,192
"11/5/2019 16:15:24","47","1",16:14:00,99
"11/5/2019 16:18:52","7","46",11:45:00,94
"11/5/2019 16:21:16","18","2",14:15:00,94
"11/5/2019 16:21:54","2","7",16:21:00,189
"11/5/2019 16:21:54","47","3",14:30:00,48
"11/5/2019 16:22:07","46","18",16:21:00,181
"11/5/2019 16:22:31","36","37",16:22:00,189
"11/5/2019 16:22:42","30","17",08:30:00,56
"11/5/2019 16:23:48","46","7",16:20:00,150
