"timestamp","row_number","ward","div","precinct","obs","log_obs","precinct_num","minute"
"11/5/2019 7:19:00",89,"44","19","4419",2,0.693147180559945,1109,9
"11/5/2019 13:07:00",90,"53","15","5315",73,4.29045944114839,1317,357
"11/5/2019 14:46:00",91,"66","36","6636",184,5.21493575760899,1693,456
"11/5/2019 7:35:00",92,"65","22","6522",3,1.09861228866811,1656,25
"11/5/2019 11:12:00",93,"56","25","5625",73,4.29045944114839,1401,242
"11/5/2019 11:28:00",94,"31","14","3114",77,4.34380542185368,700,258
"11/5/2019 8:30:00",95,"35","14","3514",14,2.63905732961526,816,80
"11/5/2019 9:10:00",96,"34","38","3438",36,3.58351893845611,798,120
"11/5/2019 7:48:00",97,"46","10","4610",8,2.07944154167984,1144,38
"11/5/2019 13:20:00",98,"41","14","4114",67,4.20469261939097,1028,370
"11/5/2019 11:19:00",99,"62","23","6223",48,3.87120101090789,1588,249
"11/5/2019 9:08:00",100,"37","16","3716",25,3.2188758248682,891,118
"11/5/2019 10:05:00",101,"61","17","6117",61,4.11087386417331,1554,175
"11/5/2019 7:58:00",102,"21","14","2114",14,2.63905732961526,461,48
"11/5/2019 10:24:00",103,"51","28","5128",92,4.52178857704904,1274,194
"11/5/2019 8:22:00",104,"50","07","5007",32,3.46573590279973,1223,72
"11/5/2019 7:54:00",105,"29","16","2916",6,1.79175946922805,667,44
"11/5/2019 12:51:00",106,"24","07","2407",61,4.11087386417331,551,341
"11/5/2019 10:04:00",107,"40","26","4026",26,3.25809653802148,989,174
"11/5/2019 10:52:00",108,"24","05","2405",41,3.71357206670431,549,222
"11/5/2019 10:33:00",109,"45","06","4506",57,4.04305126783455,1115,203
"11/5/2019 8:25:00",110,"22","01","2201",39,3.66356164612965,493,75
"11/5/2019 9:01:00",111,"65","10","6510",43,3.76120011569356,1644,111
"11/5/2019 13:33:00",112,"55","19","5519",94,4.54329478227,1366,383
"11/5/2019 7:37:00",114,"46","18","4618",4,1.38629436111989,1152,27
"11/5/2019 14:58:00",115,"40","03","4003",164,5.0998664278242,966,468
"11/5/2019 13:10:00",116,"65","02","6502",89,4.48863636973214,1636,360
"11/5/2019 13:17:00",117,"29","17","2917",68,4.21950770517611,668,367
"11/5/2019 8:17:00",118,"12","12","1212",21,3.04452243772342,284,67
"11/5/2019 7:11:00",119,"36","14","3614",1,0,848,1
"11/5/2019 10:57:00",120,"11","12","1112",63,4.14313472639153,264,227
"11/5/2019 9:35:00",121,"61","20","6120",57,4.04305126783455,1557,145
"11/5/2019 9:05:00",122,"42","21","4221",19,2.94443897916644,1061,115
"11/5/2019 11:02:00",123,"37","12","3712",46,3.8286413964891,887,232
"11/5/2019 10:24:00",124,"13","16","1316",65,4.17438726989564,312,194
"11/5/2019 8:47:00",125,"49","10","4910",43,3.76120011569356,1204,97
"11/5/2019 8:21:00",126,"65","10","6510",20,2.99573227355399,1644,71
"11/5/2019 10:17:00",127,"50","13","5013",83,4.4188406077966,1229,187
"11/5/2019 11:45:00",128,"40","18","4018",30,3.40119738166216,981,275
"11/5/2019 8:06:00",129,"15","13","1513",18,2.89037175789616,345,56
"11/5/2019 9:21:00",130,"19","07","1907",51,3.93182563272433,424,131
"11/5/2019 10:50:00",131,"54","10","5410",68,4.21950770517611,1335,220
"11/5/2019 10:01:00",132,"32","17","3217",39,3.66356164612965,722,171
"11/5/2019 14:01:00",133,"12","05","1205",188,5.23644196282995,277,411
"11/5/2019 8:08:00",135,"50","07","5007",14,2.63905732961526,1223,58
"11/5/2019 8:08:00",136,"52","27","5227",22,3.09104245335832,1301,58
"11/5/2019 14:48:00",137,"62","06","6206",119,4.77912349311153,1571,458
"11/5/2019 9:33:00",138,"58","09","5809",58,4.06044301054642,1454,143
"11/5/2019 7:34:00",139,"51","18","5118",7,1.94591014905531,1264,24
"11/5/2019 8:48:00",140,"50","04","5004",47,3.85014760171006,1220,98
"11/5/2019 13:25:00",141,"15","02","1502",161,5.08140436498446,334,375
"11/5/2019 8:39:00",142,"40","17","4017",15,2.70805020110221,980,89
"11/5/2019 12:16:00",143,"56","06","5606",95,4.55387689160054,1382,306
"11/5/2019 8:55:00",144,"48","15","4815",28,3.3322045101752,1186,105
"11/5/2019 14:51:00",145,"43","08","4308",135,4.90527477843843,1073,461
"11/5/2019 7:33:00",146,"40","35","4035",4,1.38629436111989,998,23
"11/5/2019 10:23:00",147,"51","17","5117",33,3.49650756146648,1263,193
"11/5/2019 12:39:00",148,"41","06","4106",39,3.66356164612965,1020,329
"11/5/2019 7:27:00",149,"44","02","4402",2,0.693147180559945,1092,17
"11/5/2019 7:34:00",150,"52","25","5225",8,2.07944154167984,1299,24
"11/5/2019 13:23:00",151,"21","03","2103",80,4.38202663467388,450,373
"11/5/2019 10:16:00",152,"38","14","3814",44,3.78418963391826,910,186
"11/5/2019 9:11:00",153,"12","23","1223",53,3.97029191355212,295,121
"11/5/2019 7:32:00",154,"10","03","1003",5,1.6094379124341,226,22
"11/5/2019 8:32:00",155,"50","25","5025",25,3.2188758248682,1241,82
"11/5/2019 10:34:00",156,"29","11","2911",46,3.8286413964891,662,204
"11/5/2019 9:56:00",157,"35","19","3519",48,3.87120101090789,821,166
"11/5/2019 14:08:00",158,"38","17","3817",174,5.15905529921453,913,418
"11/5/2019 9:28:00",159,"65","21","6521",32,3.46573590279973,1655,138
"11/5/2019 9:01:00",160,"61","17","6117",36,3.58351893845611,1554,111
"11/5/2019 9:46:00",161,"40","42","4042",54,3.98898404656427,1005,156
"11/5/2019 14:33:00",162,"63","08","6308",135,4.90527477843843,1599,443
"11/5/2019 12:11:00",163,"42","08","4208",56,4.02535169073515,1048,301
"11/5/2019 11:14:00",164,"41","03","4103",36,3.58351893845611,1017,244
"11/5/2019 14:07:00",165,"56","06","5606",153,5.03043792139244,1382,417
"11/5/2019 14:47:00",166,"32","25","3225",152,5.02388052084628,730,457
"11/5/2019 7:49:00",167,"60","03","6003",6,1.79175946922805,1517,39
"11/5/2019 10:18:00",168,"32","08","3208",32,3.46573590279973,713,188
"11/5/2019 8:44:00",169,"20","08","2008",11,2.39789527279837,444,94
