"timestamp","ward","div","time_of_day","obs","vote_method"
"11/3/2020 14:43:23","5","19",17:38:00,"44","by mail"
"11/3/2020 14:47:55","21","33",14:47:00,"268","in person"
"11/3/2020 14:48:30","8","15",08:02:00,"48","in person"
"11/3/2020 14:51:46","18","17",11:45:00,"193","in person"
"11/3/2020 14:54:40","30","15",13:00:00,"7","by mail"
"11/3/2020 14:55:00","36","34",12:35:00,"92","in person"
"11/3/2020 14:57:27","15","16",08:00:00,"4","by mail"
"11/3/2020 14:57:37","36","2",07:40:00,"16","in person"
"11/3/2020 14:57:58","8","22",14:56:00,"194","by mail"
"11/3/2020 14:59:45","05","32",14:59:00,"215","in person"
"11/3/2020 15:00:22","05","17",14:59:00,"210","in person"
"11/3/2020 15:01:08","15","08",09:30:00,"100","in person"
"11/3/2020 15:02:48","27","23",13:00:00,"86","by mail"
"11/3/2020 15:02:52","39","27",17:00:00,"27","by mail"
"11/3/2020 15:03:44","46","1",01:00:00,"0","by mail"
"11/3/2020 15:07:13","8","13",14:00:00,"128","in person"
"11/3/2020 15:09:19","21","38",00:12:00,"1","by mail"
"11/3/2020 15:10:44","5","37",15:10:00,"135","in person"
"11/3/2020 15:11:39","5","1",15:10:00,"140","in person"
"11/3/2020 15:11:49","5","5",15:11:00,"173","in person"
"11/3/2020 15:13:24","23","14",14:00:00,"177","in person"
"11/3/2020 15:13:33","5","5",15:11:00,"173","in person"
"11/3/2020 15:17:10","46","17",14:50:00,"154","in person"
"11/3/2020 15:18:04","5","37",10:00:00,"50","in person"
"11/3/2020 15:20:18","60","8",15:20:00,"102","in person"
"11/3/2020 15:20:40","46","23",10:10:00,"72","in person"
"11/3/2020 15:21:22","60","12",15:20:00,"143","in person"
"11/3/2020 15:22:11","36","36",08:00:00,"75","in person"
"11/3/2020 15:22:22","60","23",15:21:00,"141","in person"
"11/3/2020 15:23:05","63","24",08:15:00,"27","in person"
"11/3/2020 15:23:10","60","2",15:22:00,"164","in person"
"11/3/2020 15:23:14","30","04",08:08:00,"8","by mail"
